Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Potterton,Profile Prima 100e,4160575,40.6704,36.64,33.0 - 38.5,N/A,N/A,N/A,N/A,13.1,8.6,Yes
Potterton,Prima 30c,4160590,11.72,10.55855856,9.5 - 11.1,N/A,N/A,N/A,N/A,15.7,7.8,Yes
Potterton,Prima 40c,4160591,15.62,14.07207207,12.7 - 14.8,N/A,N/A,N/A,N/A,15.3,9.5,Yes
Potterton,Prima 50c,4160592,19.41,17.48648649,15.7 - 18.4,N/A,N/A,N/A,N/A,14.2,9.3,Yes
Potterton,Prima 60c,4160593,25.3,22.79279279,20.5 - 23.9,N/A,N/A,N/A,N/A,15.2,10.8,Yes
Potterton,Prima 30b,4160594,12.7539,11.49,10.3 - 12.1,N/A,N/A,N/A,N/A,15.2,6.8,Yes
Potterton,Prima 40b,4160595,17.0052,15.32,13.8 - 16.1,N/A,N/A,N/A,N/A,15,8.5,Yes
Potterton,Prima 50b,4160596,20.979,18.9,17.0 - 19.8,N/A,N/A,N/A,N/A,15.8,10.3,Yes
Potterton,Prima 60b,4160597,25.1748,22.68,20.4 - 23.8,N/A,N/A,N/A,N/A,13.5,10,Yes
Potterton,Prima 60f,4160704,24.3978,21.98,19.8 - 23.1,N/A,N/A,N/A,N/A,14.9,10.7,Yes
Potterton,Prima 80f,4160732,32.5341,29.31,26.4 - 30.8,N/A,N/A,N/A,N/A,11.8,6.6,Yes
Potterton,Prima 100f,4160733,40.6704,36.64,33.0 - 38.5,N/A,N/A,N/A,N/A,12.2,8,Yes
Potterton,Suprima 30,4160775,12.21,11,9.9 - 11.6,N/A,N/A,N/A,N/A,9.3,4.1,Yes
Potterton,Suprima 40,4160776,16.317,14.7,13.2 - 15.4,N/A,N/A,N/A,N/A,11.2,6.1,Yes
Potterton,Suprima 50,4160777,20.313,18.3,16.5 - 19.2,N/A,N/A,N/A,N/A,10.3,6.7,Yes
Potterton,Suprima 60,4160778,24.42,22,19.8 - 23.1,N/A,N/A,N/A,N/A,12.2,8.6,Yes
Potterton,Suprima 70,4160779,28.416,25.6,23.0 - 26.9,N/A,N/A,N/A,N/A,13.4,9.6,Yes
Potterton,Suprima 80,4160780,32.523,29.3,26.4 - 30.8,N/A,N/A,N/A,N/A,13.9,10.7,Yes
Potterton,Performa 28,4739307,32.6,29.36936937,26.4 - 30.8,N/A,N/A,N/A,N/A,12.5(+/-0.5),1.8(+/-0.2),Yes
Potterton,Performa 28i,4739308,32.6,29.36936937,26.4 - 30.8,N/A,N/A,N/A,N/A,12.5(+/-0.5),1.8(+/-0.2),Yes
Potterton,Performa 24i HE,4739312,27.528,24.8,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2(+/-0.5),2.0(+/-0.2),Yes
Potterton,Performa 30 HE,4739313,33.855,30.5,27.5 - 32.0,N/A,N/A,N/A,N/A,12.1(+/-0.5),2.1(+/-0.2),Yes
Potterton,Heatmax Combi 28 HE,4739328,32.079,28.9,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Heatmax Combi 33 HE,4739329,37.74,34,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Apollo 25,4739337,28.9266,26.06,23.5 - 27.4,9.0 (+/-0.4),8.4 (+/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Apollo 30,4739338,33.3,30,27.0 - 31.5,9.1 (+/-0.4),8.4 (+/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 24 ,4739339,27.417,24.7,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,350,N/A,N/A,Yes
Potterton,Titanium 28,4739340,32.079,28.9,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,350,N/A,N/A,Yes
Potterton,Titanium 33,4739341,37.74,34,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,350,N/A,N/A,Yes
Potterton,Titanium 40,4739342,45.732,41.2,37.1 - 43.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,350,N/A,N/A,Yes
Potterton,Gold 24 Comb iErp,4739343,27.4,24.68468468,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 28 Combi Erp,4739344,32.1,28.91891892,26.0 - 30.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 33 Combi Erp,4739346,37.7,33.96396396,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 24 Combi ErP,4739347,27.4,24.68468468,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 33 Combi ErP,4739349,37.7,33.96396396,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 24 Combi ErP,4739350,27.4,24.68468468,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 28 Combi ErP,4739351,32.1,28.91891892,26.0 - 30.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 33 Combi ErP,4739352,37.7,33.96396396,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 40 Combi ErP,4739353,45.7,41.17117117,37.1 - 43.2,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 24 Combi ErP,4739354,27.4,24.68468468,22.2 - 25.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 40 Combi ErP,4739357,45.8,41.26126126,37.1 - 43.3,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Assure Combi 25,4739358,28.6047,25.77,23.2 - 27.1,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Vaillant,ThermoCompact 620/2 E VU GB 202/2-5,4104424,24.42,22,19.8 - 23.1,N/A,N/A,N/A,N/A,9,1.5,Yes
Vaillant,ThermoCompact 628/2 E VU GB 282/2-5,4104425,29.637,26.7,24.0 - 28.0,N/A,N/A,N/A,N/A,9.8,1.9,Yes
Vaillant,ThermoCompact 624/2 E VU GB 242/2-5,4104426,34.521,31.1,28.0 - 32.7,N/A,N/A,N/A,N/A,10.5,1.8,Yes
Vaillant,EcoMax 613/2 E,4104427,14.985,13.5,12.2 - 14.2,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 2 Years
Vaillant,EcoMax 618/2 E,4104428,20.424,18.4,16.6 - 19.3,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 2 Years
Vaillant,EcoMax 622/2 E,4104429,24.864,22.4,20.2 - 23.5,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 2 Years
Vaillant,EcoMax Pro 18e,4104430,20.646,18.6,16.7 - 19.5,9.0(+/-0.2),8.8(+/-0.2),N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoMax Pro 28e,4104431,31.746,28.6,25.7 - 30.0,9.0(+/-0.2),8.8(+/-0.2),N/A,250,N/A,N/A,Every 5 Years
Vaillant,ThermoCompact 637/2 E VU GB 362-5,4104432,44.955,40.5,36.5 - 42.5,N/A,N/A,N/A,N/A,12,1.2,Yes
Vaillant,EcoMax 635 E,4104443,38.739,34.9,31.4 - 36.6,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 2 Years
Vaillant,EcoTec Plus 624,4104447,26.64,24,21.6 - 25.2,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 630,4104448,33.3,30,27.0 - 31.5,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 637,4104449,41.07,37,33.3 - 38.9,9.2(+/-1.0),N/A,N/A,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 438,4104457,42.624,38.4,34.6 - 40.3,9.0(+0.2/-0.5),N/A,N/A,N/A,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 612 VU GB 126 /5-5,4104460,13.764,12.4,11.2 - 13.0,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 615 VU GB 526 /5-5,4104461,17.205,15.5,14.0 - 16.3,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 618 VU GB 186 /5-5,4104462,20.646,18.6,16.7 - 19.5,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 624 VU GB 246 /5-5,4104463,27.417,24.7,22.2 - 25.9,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 630 VU GB 306 /5-5,4104464,34.299,30.9,27.8 - 32.4,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 637 VU GB 376 /5-5,4104465,42.291,38.1,34.3 - 40.0,Between 7.8 and 10.2%,N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 412 126/6-5 OV H-GB,4104471,13.653,12.3,11.1 - 12.9,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 415 156/6-5 OV H-GB,4104472,16.983,15.3,13.8 - 16.1,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 418 186/6-5 OV H-GB,4104473,20.424,18.4,16.6 - 19.3,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 424 246/6-5 OV H-GB,4104474,27.417,24.7,22.2 - 25.9,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 430 306/6-5 OV H-GB,4104475,33.966,30.6,27.5 - 32.1,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 435 356/6-5 OV H-GB,4104476,39.627,35.7,32.1 - 37.5,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 612 VU GB 126 /5-5 A,4104478,13.764,12.4,11.2 - 13.0,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
Vaillant,EcoTec Plus 615 VU GB 526 /5-5 A,4104479,17.205,15.5,14.0 - 16.3,9.2(+/-1.0),N/A,0.0031,250,N/A,N/A,Every 5 Years
